Angle_0,Angle_1,Angle_2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Subfolder
52.64649516,76.34972798,14.03526297,7.822179295,9.590351198,3.071660774,8.152485383,12.27995861,3.367675424,19.18852869,11.9381245,7.957608714,32.82243041,98.21237408,22.43202004,3
42.40202139,57.17523206,10.52210137,13.69245312,21.36063307,7.835297041,7.087221748,20.04577097,6.349572209,18.70644146,20.97347376,8.927450448,65.26791102,60.60815396,8.703537675,3
56.86796296,24.95673379,12.58453999,15.07730309,10.08753276,6.398248191,13.64187056,23.58733909,9.639819296,13.70982671,48.68298412,8.651673638,31.56212606,59.83244879,18.28604566,3
39.91132805,16.97248224,14.87392133,21.38890167,6.965220314,11.59928514,27.87490689,11.78254191,8.188962767,10.90239719,13.39461247,5.359702994,40.6493953,29.88677949,15.91218029,3
42.60624233,84.09057371,11.70192519,9.887769329,11.8787598,7.691714898,7.837947645,12.92618154,5.595332195,17.5300454,15.26604408,9.767871628,36.32078297,99.829552,22.95939361,3
39.13138838,30.42880966,2.760468831,22.77769449,17.1920898,14.26744027,3.058109865,24.31153186,4.991144356,14.0672459,38.88848302,7.660114943,96.88517781,29.18093412,19.43235041,3
52.39628911,62.39641082,9.870883049,13.55852507,5.056245835,2.236377373,1.842647042,9.059405952,1.405938152,18.32546141,10.45637551,6.141840185,48.02363102,90.73389776,11.72324358,3
62.60396623,27.75370602,20.74576445,19.06975734,8.415415696,2.930930018,15.36181888,14.52207543,10.64393107,15.96494886,43.94851477,14.6030236,39.73994647,64.8460137,39.07062247,3
51.27771772,55.03159045,2.28537586,6.554645556,9.764296465,4.547219021,1.064150363,14.38438083,0.818531711,16.22733936,15.37937225,6.897850948,40.83103503,101.651865,7.480683244,3
27.47202483,63.37514416,29.43884853,22.50592262,5.70003791,4.48834237,8.516179319,8.798674578,5.987320932,28.12026348,2.83667709,14.73277625,34.23255417,126.2991254,3.445008535,3
52.83471288,34.20258057,0.950224601,11.88814233,10.42799424,6.239238125,9.390009321,19.98947164,4.097211434,15.52015844,22.62577702,4.457690983,40.17161294,58.84347473,17.98636094,3
44.37303357,60.3308805,23.4798774,8.076706248,8.010719449,1.753967365,8.748741403,9.972346605,5.414846349,20.3491052,10.19361891,8.828231415,42.75996036,84.34770384,21.96066076,3
42.23785254,62.01118267,11.64390597,5.54198836,9.659656763,2.499997082,2.256172381,13.77776699,0.801785295,16.92423699,11.25714764,6.442672336,68.08142511,60.63684426,10.70794592,3
